dsp_pedon_id,label_full,label,lu,till,trt,explanation,state,project,soil,site,lat,long
REF-9,Ref - Native,Ref,RANGE,Perennial,Native rangeland,Undisturbed fencerow running W-E located at the southern edge of the CON field,Reference,UnivOfMinnesota,Kenyon,Mower,43.746867,-92.84265
AD1-ASP1,SHM - no-till,SHM,CROP,No-till,ASP1,ASP,AG-CROP,WashingtonState,Palouse,AD1,NA,NA
AD1-PGL1,Ref - CRP,Ref,GRASS,Perennial,PGL1,PGL,ALT,WashingtonState,Palouse,AD1,NA,NA
ASP2-1,SHM - no-till,SHM,CROP,No-till,ASP2,ASP,AG-CROP,WashingtonState,Palouse,CK,46.78188975,-117.0822114
CK1-ASP2,SHM - no-till,SHM,CROP,No-till,ASP2,ASP,AG-CROP,WashingtonState,Palouse,CK1,NA,NA
ASP2-2,SHM - no-till,SHM,CROP,No-till,ASP2,ASP,AG-CROP,WashingtonState,Palouse,CK,46.78188975,-117.0822114
CK1-BAU1,BAU,BAU,CROP,Till,BAU1,BAU,AG-CROP,WashingtonState,Palouse,CK1,NA,NA
ASP2-3,SHM - no-till,SHM,CROP,No-till,ASP2,ASP,AG-CROP,WashingtonState,Palouse,CK,46.78188975,-117.0822114
BAU9-1,BAU,BAU,CROP,Till,BAU9,BAU,AG-CROP,WashingtonState,Palouse,CK,46.78188975,-117.0822114
BAU9-2,BAU,BAU,CROP,Till,BAU9,BAU,AG-CROP,WashingtonState,Palouse,CK,46.78188975,-117.0822114
BAU9-3,BAU,BAU,CROP,Till,BAU9,BAU,AG-CROP,WashingtonState,Palouse,CK,46.78188975,-117.0822114
EO1-ASP3,SHM - no-till,SHM,CROP,No-till,ASP3,ASP,AG-CROP,WashingtonState,Palouse,EO1,NA,NA
EO1-PLG2,Ref - CRP,Ref,GRASS,Perennial,PGL2,PGL,ALT,WashingtonState,Palouse,EO1,NA,NA
ASP10-1,SHM - no-till,SHM,CROP,No-till,ASP10,ASP,AG-CROP,WashingtonState,Palouse,JEA,46.78836813,-117.4595977
JEA1-ASP4,SHM - no-till,SHM,CROP,No-till,ASP4,ASP,AG-CROP,WashingtonState,Palouse,JEA,NA,NA
ASP10-2,SHM - no-till,SHM,CROP,No-till,ASP10,ASP,AG-CROP,WashingtonState,Palouse,JEA,46.788368,-117.4595978
ASP10-3,SHM - no-till,SHM,CROP,No-till,ASP10,ASP,AG-CROP,WashingtonState,Palouse,JEA,46.78836851,-117.4595972
JEA1-PLG3,Ref - CRP,Ref,GRASS,Perennial,PGL3,PGL,ALT,WashingtonState,Palouse,NA,NA,NA
JEA2-ASP5,SHM - no-till,SHM,CROP,No-till,ASP5,ASP,AG-CROP,WashingtonState,Palouse,JEA,NA,NA
JEA2-PGL4,Ref - CRP,Ref,GRASS,Perennial,PGL4,PGL,ALT,WashingtonState,Palouse,JEA,NA,NA
KRR1-BAU2,BAU,BAU,CROP,Till,BAU2,BAU,AG-CROP,WashingtonState,Palouse,KRR,NA,NA
KRR1-PGL5,Ref - CRP,Ref,GRASS,Perennial,PGL5,PGL,ALT,WashingtonState,Palouse,KRR,NA,NA
ASP6-1,SHM - no-till,SHM,CROP,No-till,ASP6,ASP,AG-CROP,WashingtonState,Palouse,KU,46.78188975,-117.0822114
ASP6-2,SHM - no-till,SHM,CROP,No-till,ASP6,ASP,AG-CROP,WashingtonState,Palouse,KU,46.78188975,-117.0822114
KUI1-BAU3,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,WashingtonState,Palouse,KUI,NA,NA
ASP6-3,SHM - no-till,SHM,CROP,No-till,ASP6,ASP,AG-CROP,WashingtonState,Palouse,KU,46.78188975,-117.0822114
BAU3-1,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,WashingtonState,Palouse,KU,46.78188975,-117.0822114
BAU3-2,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,WashingtonState,Palouse,KU,46.74504916,-117.4236809
BAU3-3,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,WashingtonState,Palouse,KU,46.74504916,-117.4236809
BAU8-1,BAU,BAU,CROP,Till,BAU8,BAU,AG-CROP,WashingtonState,Palouse,LYM,46.74504916,-117.4236809
BAU8-2,BAU,BAU,CROP,Till,BAU8,BAU,AG-CROP,WashingtonState,Palouse,LYM,46.74504915,-117.4236809
BAU8-3,BAU,BAU,CROP,Till,BAU8,BAU,AG-CROP,WashingtonState,Palouse,LYM,46.74504922,-117.4236808
LYM1-PGL6,Ref - CRP,Ref,GRASS,Perennial,PGL6,PGL,ALT,WashingtonState,Palouse,LYM,NA,NA
LYM-BAU4,BAU,BAU,CROP,Till,BAU4,BAU,AG-CROP,WashingtonState,Palouse,LYM,NA,NA
PCF1-ASP7,SHM - no-till,SHM,CROP,No-till,ASP7,ASP,AG-CROP,WashingtonState,Palouse,PCF,NA,NA
PCF2-PGL8,Ref - CRP,Ref,GRASS,Perennial,PGL8,PGL,ALT,WashingtonState,Palouse,PCF,NA,NA
PCFS1- BAU5,BAU,BAU,CROP,Till,BAU5,BAU,AG-CROP,WashingtonState,Palouse,PCF,NA,NA
PCFS1-PGL7,Ref - CRP,Ref,GRASS,Perennial,PGL7,PGL,ALT,WashingtonState,Palouse,PCF,NA,NA
PGL7-7a,Ref - CRP,Ref,GRASS,Perennial,PGL7,PGL,ALT,WashingtonState,Palouse,PCF,46.75739636,-117.1998969
PGL7-7b,Ref - CRP,Ref,GRASS,Perennial,PGL7,PGL,ALT,WashingtonState,Palouse,PCF,46.75739636,-117.1998969
PGL7-7c,Ref - CRP,Ref,GRASS,Perennial,PGL7,PGL,ALT,WashingtonState,Palouse,PCF,46.75739636,-117.1998969
PCFS2-ASP8,SHM - no-till,SHM,CROP,No-till,ASP8,ASP,AG-CROP,WashingtonState,Palouse,PCF,NA,NA
PCFS2-BAU6,BAU,BAU,CROP,Till,BAU6,BAU,AG-CROP,WashingtonState,Palouse,PCF,NA,NA
ASP9-1,SHM - no-till,SHM,CROP,No-till,ASP9,ASP,AG-CROP,WashingtonState,Palouse,PCF,46.75757137,-117.2000596
ASP9-2,SHM - no-till,SHM,CROP,No-till,ASP9,ASP,AG-CROP,WashingtonState,Palouse,PCF,46.75757137,-117.2000596
ASP9-3,SHM - no-till,SHM,CROP,No-till,ASP9,ASP,AG-CROP,WashingtonState,Palouse,PCF,46.74504918,-117.4236807
PGL9-1,Ref - CRP,Ref,GRASS,Perennial,PGL9,PGL,ALT,WashingtonState,Palouse,PCF,46.75757146,-117.20006
PGL9-2,Ref - CRP,Ref,GRASS,Perennial,PGL9,PGL,ALT,WashingtonState,Palouse,PCF,46.75739636,-117.1998969
PGL9-3,Ref - CRP,Ref,GRASS,Perennial,PGL9,PGL,ALT,WashingtonState,Palouse,PCF,46.75739636,-117.1998969
PCFS3-ASP9,SHM - no-till,SHM,CROP,No-till,ASP9,ASP,AG-CROP,WashingtonState,Palouse,PCF,NA,NA
PCFS3-BAU7,BAU,BAU,CROP,Till,BAU,BAU,AG-CROP,WashingtonState,Palouse,PCF,NA,NA
PCFS3-PGL9,Ref - CRP,Ref,GRASS,Perennial,PGL9,PGL,ALT,WashingtonState,Palouse,PCF,NA,NA
